c_code,company_name
NGLA83C946,A&C CORPORATION
NGLA83C917,CHONGQING ZHENJIAN
NGLA83C970,CHONGQUING FENGHUA
NGLA83C904,DAIFONG PRECISION
NGLA83CA26,"DALIAN JINJIANG AUTO PARTS CO., LTD"
NGLA83CA90,KINROM
NGLA83C902,ESSENCE FASTENING SYSTEMS
NGLA83C898,ESTAMP AUTOMOTIVE COMPONENTS CO. LTD.
NGLA83C921,GINHO PRECISION
NGLA83C971,LONGSHAN
NGLA83C901,NEW AITE HOUSEHOLD
NGLA83C918,NINGBO SHIELD
NGLA83C893,NINGBO SIMING AUTO
NGLA83C892,NINGBO TANGYANG
NGLA83C894,NINGBO WAVE
NGLA83C905,QINGDAO LIBO AUTO PARTS
NGLA83C907,"SEGLIAN MANUFACTURING GROUP, INC."
NGLA83C900,SHANGAI GUOBO
NGLA83C118,SHANGAI RIHAN
NGLA83CA35,SHANGHAI BAOLONG SALES CO
NGLA83C891,SHANGHAI JIANGCHUAN (ZILIN)
NGLA83C903,SHANGHAI KOAL
NGLA83CA05,SHANGHAI YUGOO
NGLA83C909,SHIDA TONGTAI
NGLA83C899,TAIZHOU XINYU
NGLA83C896,WUXI JINGXIN PRECISION MA
NGLA83C979,XIXIA INTAKE
NGLA83C916,YANTAI SJM CO. LTD
NGLA83C897,YONGYI PRECISION MANUFACTURE
NGLA83C895,"ZHEJIANG YINLUN MACHINERY CO., LTD"
NGLA83C906,ZHONGSHAN SINTS / TIANQI
NGLA83CA55,SINOTEC
