Company name,IV value,Total stock,Total IN,EOM inventory,Total OUT,Storage,Labelling,IMMEX en,IMMEX vex,Ins,Sub total,16% VAT,Grand total
A&C CORPORATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHONGQING ZHENJIAN,1323413.75,284.0,35.0,269.0,15.0,1420.0,1.4,39.55,9.45,661.71,2132.11,341.14,2473.24
CHONGQUING FENGHUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAIFONG PRECISION,979505.96,459.0,153.0,391.0,68.0,2295.0,6.12,172.89,42.84,489.75,3006.6,481.06,3487.66
"DALIAN JINJIANG AUTO PARTS CO., LTD",509059.78,294.0,158.0,223.5,70.5,1470.0,6.32,178.54,44.42,254.53,1953.8,312.61,2266.41
KINROM,14424.0,11.33,3.77,9.9,1.43,56.67,0.15,4.26,0.9,7.21,69.19,11.07,80.26
ESSENCE FASTENING SYSTEMS,821595.82,192.1,71.64,169.85,22.25,960.52,2.87,80.95,14.02,410.8,1469.15,235.06,1704.22
ESTAMP AUTOMOTIVE COMPONENTS CO. LTD.,147904.0,43.0,30.0,30.0,13.0,215.0,1.2,33.9,8.19,73.95,332.24,53.16,385.4
GINHO PRECISION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONGSHAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEW AITE HOUSEHOLD,153115.74,89.0,0.0,89.0,0.0,445.0,0.0,0.0,0.0,76.56,521.56,83.45,605.01
NINGBO SHIELD,19908.72,9.0,0.0,9.0,0.0,45.0,0.0,0.0,0.0,9.95,54.95,8.79,63.75
NINGBO SIMING AUTO,240906.85,103.0,44.0,69.0,34.0,515.0,1.76,49.72,21.42,120.45,708.35,113.34,821.69
NINGBO TANGYANG,76267.39,32.0,3.0,10.0,22.0,160.0,0.12,3.39,13.86,38.13,215.5,34.48,249.98
NINGBO WAVE,390692.96,147.0,71.0,91.0,56.0,735.0,2.84,80.23,35.28,195.35,1048.7,167.79,1216.49
QINGDAO LIBO AUTO PARTS,717516.84,160.0,61.0,131.0,29.0,800.0,2.44,68.93,18.27,358.76,1248.4,199.74,1448.14
"SEGLIAN MANUFACTURING GROUP, INC.",497587.22,110.0,39.0,89.0,21.0,550.0,1.56,44.07,13.23,248.79,857.65,137.22,994.88
SHANGAI GUOBO,9635.96,13.0,0.0,12.0,1.0,65.0,0.0,0.0,0.63,4.82,70.45,11.27,81.72
SHANGAI RIHAN,878779.34,610.46,223.42,454.71,155.75,3052.3,8.94,252.47,98.12,439.39,3851.22,616.19,4467.41
SHANGHAI BAOLONG SALES CO,766840.19,617.3,264.44,483.32,133.99,3086.5,10.58,298.82,84.41,383.42,3863.73,618.2,4481.93
SHANGHAI JIANGCHUAN (ZILIN),1125045.26,659.0,270.0,492.0,167.0,3295.0,10.8,305.1,105.21,562.52,4278.63,684.58,4963.21
SHANGHAI KOAL,350497.24,134.0,32.0,119.0,15.0,670.0,1.28,36.16,9.45,175.25,892.14,142.74,1034.88
SHANGHAI YUGOO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHIDA TONGTAI,2645853.24,1841.0,1109.0,1364.0,477.0,7755.78,39.12,1105.14,515.97,1089.59,10505.6,1680.9,12186.5
TAIZHOU XINYU,814438.92,404.0,173.0,332.0,72.0,2020.0,6.92,195.49,45.36,407.22,2674.99,428.0,3102.99
WUXI JINGXIN PRECISION MA,963172.36,189.0,86.0,101.0,88.0,945.0,3.44,97.18,55.44,481.59,1582.65,253.22,1835.87
XIXIA INTAKE,89799.36,33.2,14.2,30.8,2.4,166.0,0.57,16.05,1.51,44.9,229.03,36.64,265.67
YANTAI SJM CO. LTD,38671.6,11.0,0.0,11.0,0.0,55.0,0.0,0.0,0.0,19.34,74.34,11.89,86.23
YONGYI PRECISION MANUFACTURE,244834.56,48.0,21.0,27.0,21.0,240.0,0.84,23.73,13.23,122.42,400.22,64.03,464.25
"ZHEJIANG YINLUN MACHINERY CO., LTD",514483.2,55.0,25.0,33.0,22.0,275.0,1.0,28.25,13.86,257.24,575.35,92.06,667.41
ZHONGSHAN SINTS / TIANQI,365375.58,94.72,5.72,83.51,11.21,473.59,0.23,6.46,7.06,182.69,670.03,107.2,777.24
SINOTEC,9936.0,46.0,0.0,37.0,9.0,230.0,0.0,0.0,5.67,4.97,240.64,38.5,279.14
