id,company_name,b_cat,ac_term,mxbd_rcvd,bd_issued,1st_rep,affirm_yn,bd_finalized,fapiao_d,payment_d,sup_rem,mx_rem,fpio_f,pymnt_rem
1,CHONGQING ZHENJIAN,A,202406,20240709,20240712,20240716,y,,20240724,,,,,
2,DAIFONG PRECISION,A,202406,20240709,20240712,20240712,n,20240725,20240730,,,,,
3,"DALIAN JINJIANG AUTO PARTS CO., LTD",A,202406,20240709,20240712,20240712,y,,20240724,,,,,
4,KINROM,A,202406,20240709,20240712,20240722,y,,20240724,,,,,
5,ESSENCE FASTENING SYSTEMS,A,202406,20240709,20240712,,,,,,*,,,
6,ESTAMP AUTOMOTIVE COMPONENTS CO. LTD.,A,202406,20240709,20240712,20240712,y,,20240724,,,,,
7,NEW AITE HOUSEHOLD,A,202406,20240709,20240712,20240712,y,,20240724,,,,,
8,NINGBO SHIELD,A,202406,20240709,20240712,20240712,n,,,,,*,,
9,NINGBO SIMING AUTO,A,202406,20240709,20240712,20240712,n,20240725,20240730,,,,,
10,NINGBO TANGYANG,A,202406,20240709,20240712,20240715,y,,,,,,*,
11,NINGBO WAVE,A,202406,20240709,20240712,,,,,,*,,,
12,QINGDAO LIBO AUTO PARTS,A,202406,20240709,20240712,20240712,n,,,,,*,,
13,"SEGLIAN MANUFACTURING GROUP, INC.",A,202406,20240709,20240712,20240712,y,,,,,,*,
14,SHANGAI GUOBO,A,202406,20240709,20240712,20240724,n,20240726,20240730,,,,,
15,SHANGAI RIHAN,A,202406,20240709,20240712,,,,,,*,,,
16,SHANGHAI BAOLONG SALES CO,A,202406,20240709,20240712,20240712,n,20240716,,,,,*,
17,SHANGHAI JIANGCHUAN (ZILIN),A,202406,20240709,20240712,20240715,n,,,,,*,,
18,SHANGHAI KOAL,A,202406,20240709,20240712,20240715,y,,20240724,,,,,
19,SHIDA TONGTAI,A,202406,20240709,20240712,20240716,n,20240725,,,,,*,
20,TAIZHOU XINYU,A,202406,20240709,20240712,,,,,,*,,,
21,WUXI JINGXIN PRECISION MA,A,202406,20240709,20240712,20240712,n,20240726,20240730,,,,,
22,XIXIA INTAKE,A,202406,20240709,20240712,20240715,y,,20240724,,,,,
23,YANTAI SJM CO. LTD,A,202406,20240709,20240712,20240712,y,,20240724,,,,,
24,YONGYI PRECISION MANUFACTURE,A,202406,20240709,20240712,20240722,y,,20240724,,,,,
25,"ZHEJIANG YINLUN MACHINERY CO., LTD",A,202406,20240709,20240712,,,,,,*,,,
26,ZHONGSHAN SINTS / TIANQI,A,202406,20240709,20240712,,,,,,*,,,
27,SINOTEC,A,202406,20240709,20240712,20240722,y,,20240724,,,,,
28,CHONGQING ZHENJIAN,A,202405,20240610,20240611,20240613,n,20240618,,,,,*,
29,DAIFONG PRECISION,A,202405,20240610,20240611,20240611,y,,20240627,,,,,
30,"DALIAN JINJIANG AUTO PARTS CO., LTD",A,202405,20240610,20240611,20240612,y,,20240627,,,,,
31,KINROM,A,202405,20240610,20240611,20240626,y,,20240715,,,,,
32,ESSENCE FASTENING SYSTEMS,A,202405,20240610,20240611,20240611,n,,,,,*,,
33,ESTAMP AUTOMOTIVE COMPONENTS CO. LTD.,A,202405,20240610,20240611,20240611,y,,20240627,,,,,
34,NEW AITE HOUSEHOLD,A,202405,20240610,20240611,20240612,y,,20240627,,,,,
35,NINGBO SHIELD,A,202405,20240610,20240611,,,,,,*,,,
36,NINGBO SIMING AUTO,A,202405,20240610,20240611,20240613,y,,20240627,,,,,
37,NINGBO TANGYANG,A,202405,20240610,20240611,20240613,y,,20240627,,,,,
38,NINGBO WAVE,A,202405,20240610,20240611,20240613,n,20240614,20240627,,,,,
39,QINGDAO LIBO AUTO PARTS,A,202405,20240610,20240611,20240611,n,20240613,20240627,,,,,
40,"SEGLIAN MANUFACTURING GROUP, INC.",A,202405,20240610,20240611,,,,,,*,,,
41,SHANGAI GUOBO,A,202405,20240610,20240611,20240614,y,,20240627,,,,,
42,SHANGAI RIHAN,A,202405,20240610,20240611,,,,,,*,,,
43,SHANGHAI BAOLONG SALES CO,A,202405,20240610,20240611,,,,,20240709,,,,
44,SHANGHAI JIANGCHUAN (ZILIN),A,202405,20240610,20240611,20240625,n,,,,,*,,
45,SHANGHAI KOAL,A,202405,20240610,20240611,20240617,y,,20240627,,,,,
46,SHIDA TONGTAI,A,202405,20240610,20240611,20240611,n,20240619,20240627,,,,,
47,TAIZHOU XINYU,A,202405,20240610,20240611,,,,,,*,,,
48,WUXI JINGXIN PRECISION MA,A,202405,20240610,20240611,20240612,n,20240704,,,,,*,
49,XIXIA INTAKE,A,202405,20240610,20240611,20240613,y,,20240627,,,,,
50,YANTAI SJM CO. LTD,A,202405,20240610,20240611,20240611,n,20240618,,,,,*,
51,YONGYI PRECISION MANUFACTURE,A,202405,20240610,20240611,20240617,n,20240620,20240627,,,,,
52,"ZHEJIANG YINLUN MACHINERY CO., LTD",A,202405,20240610,20240611,,,,,,*,,,
53,ZHONGSHAN SINTS / TIANQI,A,202405,20240610,20240611,,,,,,*,,,
54,SINOTEC,A,202405,20240610,20240611,,,,,,*,,,
55,"ZHEJIANG MEILI HIGH TECHNOLOGY CO., LTD.",C,202405,20240610,20240611,20240611,n,,,,,*,,
56,WUXI JINGXIN PRECISION MACHINING CO,C,202405,20240610,20240611,20240612,y,,20240627,,,,,
