company_name,b_cat,ac_term,mxbd_rcvd,bd_issued,1st_rep,affirm_yn,bd_finalized,fapiao_d,payment_d,sup_rem,mx_rem,fpio_f,pymnt_rem
CHONGQING ZHENJIAN,A,202406,20240709,20240712,20240716,y,,,,,,,
DAIFONG PRECISION,A,202406,20240709,20240712,20240712,n,,,,,,,
"DALIAN JINJIANG AUTO PARTS CO., LTD",A,202406,20240709,20240712,20240712,y,,,,,,,
KINROM,A,202406,20240709,20240712,20240722,y,,,,,,,
ESSENCE FASTENING SYSTEMS,A,202406,20240709,20240712,,,,,,,,,
ESTAMP AUTOMOTIVE COMPONENTS CO. LTD.,A,202406,20240709,20240712,20240712,y,,,,,,,
NEW AITE HOUSEHOLD,A,202406,20240709,20240712,20240712,y,,,,,,,
NINGBO SHIELD,A,202406,20240709,20240712,20240712,n,,,,,,,
NINGBO SIMING AUTO,A,202406,20240709,20240712,20240712,n,,,,,,,
NINGBO TANGYANG,A,202406,20240709,20240712,20240715,y,,,,,,,
NINGBO WAVE,A,202406,20240709,20240712,,,,,,,,,
QINGDAO LIBO AUTO PARTS,A,202406,20240709,20240712,20240712,n,,,,,,,
"SEGLIAN MANUFACTURING GROUP, INC.",A,202406,20240709,20240712,20240712,y,,,,,,,
SHANGAI GUOBO,A,202406,20240709,20240712,,,,,,,,,
SHANGAI RIHAN,A,202406,20240709,20240712,,,,,,,,,
SHANGHAI BAOLONG SALES CO,A,202406,20240709,20240712,20240712,n,20240716,,,,,,
SHANGHAI JIANGCHUAN (ZILIN),A,202406,20240709,20240712,20240715,n,,,,,,,
SHANGHAI KOAL,A,202406,20240709,20240712,20240715,y,,,,,,,
SHIDA TONGTAI,A,202406,20240709,20240712,20240716,n,,,,,,,
TAIZHOU XINYU,A,202406,20240709,20240712,,,,,,,,,
WUXI JINGXIN PRECISION MA,A,202406,20240709,20240712,20240712,n,,,,,,,
XIXIA INTAKE,A,202406,20240709,20240712,20240715,y,,,,,,,
YANTAI SJM CO. LTD,A,202406,20240709,20240712,20240712,y,,,,,,,
YONGYI PRECISION MANUFACTURE,A,202406,20240709,20240712,20240722,y,,,,,,,
"ZHEJIANG YINLUN MACHINERY CO., LTD",A,202406,20240709,20240712,,,,,,,,,
ZHONGSHAN SINTS / TIANQI,A,202406,20240709,20240712,,,,,,,,,
SINOTEC,A,202406,20240709,20240712,20240722,y,,,,,,,
CHONGQING ZHENJIAN,A,202405,20240610,20240611,20240613,n,20240618,,,,,,
DAIFONG PRECISION,A,202405,20240610,20240611,20240611,y,,20240627,,,,,
"DALIAN JINJIANG AUTO PARTS CO., LTD",A,202405,20240610,20240611,20240612,y,,20240627,,,,,
KINROM,A,202405,20240610,20240611,20240626,y,,20240715,,,,,
ESSENCE FASTENING SYSTEMS,A,202405,20240610,20240611,20240611,n,,,,,,,
ESTAMP AUTOMOTIVE COMPONENTS CO. LTD.,A,202405,20240610,20240611,20240611,y,,20240627,,,,,
NEW AITE HOUSEHOLD,A,202405,20240610,20240611,20240612,y,,20240627,,,,,
NINGBO SHIELD,A,202405,20240610,20240611,,,,,,,,,
NINGBO SIMING AUTO,A,202405,20240610,20240611,20240613,y,,20240627,,,,,
NINGBO TANGYANG,A,202405,20240610,20240611,20240613,y,,20240627,,,,,
NINGBO WAVE,A,202405,20240610,20240611,20240613,n,20240614,20240627,,,,,
QINGDAO LIBO AUTO PARTS,A,202405,20240610,20240611,20240611,n,20240613,20240627,,,,,
"SEGLIAN MANUFACTURING GROUP, INC.",A,202405,20240610,20240611,,,,,,,,,
SHANGAI GUOBO,A,202405,20240610,20240611,20240614,y,,20240627,,,,,
SHANGAI RIHAN,A,202405,20240610,20240611,,,,,,,,,
SHANGHAI BAOLONG SALES CO,A,202405,20240610,20240611,,,,,20240709,,,,
SHANGHAI JIANGCHUAN (ZILIN),A,202405,20240610,20240611,20240625,n,,,,,,,
SHANGHAI KOAL,A,202405,20240610,20240611,20240617,y,,20240627,,,,,
SHIDA TONGTAI,A,202405,20240610,20240611,20240611,n,20240619,20240627,,,,,
TAIZHOU XINYU,A,202405,20240610,20240611,,,,,,,,,
WUXI JINGXIN PRECISION MA,A,202405,20240610,20240611,20240612,n,20240704,,,,,,
XIXIA INTAKE,A,202405,20240610,20240611,20240613,y,,20240627,,,,,
YANTAI SJM CO. LTD,A,202405,20240610,20240611,20240611,n,20240618,,,,,,
YONGYI PRECISION MANUFACTURE,A,202405,20240610,20240611,20240617,n,20240620,20240627,,,,,
"ZHEJIANG YINLUN MACHINERY CO., LTD",A,202405,20240610,20240611,,,,20240627,,,,,
ZHONGSHAN SINTS / TIANQI,A,202405,20240610,20240611,,,,,,,,,
SINOTEC,A,202405,20240610,20240611,,,,,,,,,
"ZHEJIANG MEILI HIGH TECHNOLOGY CO., LTD.",C,202405,20240610,20240611,20240611,n,,,,,,,
WUXI JINGXIN PRECISION MACHINING CO,C,202405,20240610,20240611,20240612,y,,20240627,,,,,
ZHONGSHAN DIGIT AUTOMOTIVE TECHNOLOGY LIMITED,C,202405,20240610,20240611,,,,,,,,,
ZHEJIANG SHENGHUABO ELECTRIC APPLIANCE CORPORATION,C,202405,20240610,20240611,20240618,n,,,,,,,
SUZHOU HONGLI AUTOMOTIVE PARTS,C,202405,20240610,20240611,20240611,n,,,,,,,
"OKE PLASTIC (ZHANGJIAGANG) CO., LTD.",C,202405,20240610,20240611,20240611,y,,20240627,,,,,
"SHANGHAI GAOQI AUTOMOTIVE COMPONENTS CO., LTD",C,202405,20240610,20240611,,,,,,,,,
SHIDA TONGTAI,A,202401,,20240302,,,20240530,20240619,,,,,
SHIDA TONGTAI,A,202402,,20240311,,,20240530,20240619,,,,,
SHIDA TONGTAI,A,202403,,20240415,20240415,n,20240416,20240619,,,,,
SHIDA TONGTAI,A,202404,,20240507,,,20240619,20240627,,,,,
TAIZHOU XINYU,A,202207,20220812,20220902,20220908,n,20221011,20221024,20221128,,,,
TAIZHOU XINYU,A,202208,20220903,20221014,20230130,y,,20230203,20231021,,,,
TAIZHOU XINYU,A,202209,20221013,20221014,20230130,y,,20230203,20231021,,,,
TAIZHOU XINYU,A,202210,20221103,20221107,20221227,y,,20230208,20231021,,,,
TAIZHOU XINYU,A,202211,20221208,20221208,20221227,y,,20230203,20231021,,,,
TAIZHOU XINYU,A,202212,20230103,20230106,20230107,y,,20230203,20231021,,,,
TAIZHOU XINYU,A,202301,20230202,20230208,20230321,n,20230329,20230414,20230428,,,,
TAIZHOU XINYU,A,202302,20230307,20230309,20230424,y,,20230516,20230529,,,,
TAIZHOU XINYU,A,202303,20230421,20230424,20230424,n,20230505,20230613,20230627,,,,
TAIZHOU XINYU,A,202304,20230604,20230712,20231106,n,20231221,20240117,20240205,,,,
TAIZHOU XINYU,A,202305,20230726,20230818,20230913,n,20231010,20231115,20231207,,,,
TAIZHOU XINYU,A,202306,20230730,20230818,20230913,n,20231225,20240117,20240205,,,,
TAIZHOU XINYU,A,202310,20231115,20231208,20231209,n,20231219,,,,,,
TAIZHOU XINYU,A,202311,20231213,20240116,20240204,n,20240506,,,,,,
TAIZHOU XINYU,A,202312,20240117,20240302,20240401,n,,20240522,20240621,,,,
TAIZHOU XINYU,A,202401,20240208,20240302,20240401,n,20240602,20240522,20240621,,,,
TAIZHOU XINYU,A,202402,20240304,20240311,20240401,n,20240304,20240522,20240621,,,,
TAIZHOU XINYU,A,202403,20240403,20240415,20240521,n,20240614,20240627,,,,,
TAIZHOU XINYU,A,202404,20240507,20240507,20240521,n,20240518,,,,,,
